,checking_account_status,duration,credit_history,purpose,credit_amount,savings,present_employment_since,installment_rate,gender,marital_status,other_debtors,residence_since,property,age,other_installment_plans,housing,n_credit_cards,job,n_people_liable,telephone,foreign,y
325,0.0,8.0,A34,car (new),3398.0,0.0,3.0,1.0,male,single,none,4.0,real_estate,39.0,none,own,2.0,1.0,1.0,none,no,1
328,2.0,36.0,A32,radio/TV,4473.0,0.0,4.0,4.0,male,single,none,2.0,car or other,31.0,none,own,1.0,2.0,1.0,none,yes,1
329,1.0,6.0,A32,radio/TV,1068.0,0.0,4.0,4.0,male,single,none,4.0,car or other,28.0,none,own,1.0,2.0,2.0,none,yes,1
330,0.0,24.0,A34,car (used),6615.0,0.0,0.0,2.0,male,single,none,4.0,unknown/none,75.0,none,free,2.0,3.0,1.0,yes,yes,1
332,1.0,60.0,A32,car (new),7408.0,1.0,1.0,4.0,female,divorced/separated/married,none,2.0,building,24.0,none,own,1.0,3.0,1.0,none,yes,2
334,0.0,24.0,A30,furniture/equipment,4110.0,0.0,4.0,3.0,male,single,none,4.0,unknown/none,23.0,bank,rent,2.0,2.0,2.0,none,yes,2
335,0.0,6.0,A34,furniture/equipment,3384.0,0.0,2.0,1.0,male,divorced/separated/married,none,4.0,real_estate,44.0,none,rent,1.0,3.0,1.0,yes,yes,2
336,1.0,13.0,A32,radio/TV,2101.0,0.0,1.0,2.0,female,divorced/separated/married,guarantor,4.0,building,23.0,none,own,1.0,1.0,1.0,none,yes,1
338,0.0,24.0,A32,furniture/equipment,4169.0,0.0,2.0,4.0,male,single,none,4.0,building,28.0,none,own,1.0,2.0,1.0,none,yes,1
339,1.0,10.0,A32,furniture/equipment,1521.0,0.0,2.0,4.0,male,divorced/separated/married,none,2.0,car or other,31.0,none,own,1.0,1.0,1.0,none,yes,1
340,1.0,24.0,A34,education,5743.0,0.0,1.0,2.0,female,divorced/separated/married,none,4.0,unknown/none,24.0,none,free,2.0,2.0,1.0,yes,yes,1
341,0.0,21.0,A32,furniture/equipment,3599.0,0.0,3.0,1.0,female,divorced/separated/married,none,4.0,car or other,26.0,none,rent,1.0,1.0,1.0,none,yes,1
342,1.0,18.0,A32,radio/TV,3213.0,2.0,1.0,1.0,male,divorced/separated/married,none,3.0,real_estate,25.0,none,rent,1.0,2.0,1.0,none,yes,1
343,1.0,18.0,A32,business,4439.0,0.0,4.0,1.0,male,single,co-applicant,1.0,real_estate,33.0,bank,own,1.0,3.0,1.0,yes,yes,1
344,2.0,10.0,A32,car (new),3949.0,0.0,1.0,1.0,male,single,guarantor,1.0,building,37.0,none,own,1.0,1.0,2.0,none,yes,1
346,1.0,13.0,A34,radio/TV,882.0,0.0,1.0,4.0,male,single,guarantor,4.0,real_estate,23.0,none,own,2.0,2.0,1.0,none,yes,1
347,1.0,24.0,A32,radio/TV,3758.0,2.0,0.0,1.0,female,divorced/separated/married,none,4.0,unknown/none,23.0,none,rent,1.0,0.0,1.0,none,yes,1
349,1.0,9.0,A34,education,1136.0,3.0,4.0,4.0,male,single,none,3.0,unknown/none,32.0,none,free,2.0,2.0,2.0,none,yes,2
351,1.0,9.0,A32,furniture/equipment,959.0,0.0,2.0,1.0,female,divorced/separated/married,none,2.0,car or other,29.0,none,own,1.0,2.0,1.0,none,no,2
353,0.0,12.0,A30,radio/TV,6199.0,0.0,2.0,4.0,male,single,none,2.0,building,28.0,none,rent,2.0,2.0,1.0,yes,yes,2
355,1.0,24.0,A32,car (new),1246.0,0.0,1.0,4.0,male,single,none,2.0,real_estate,23.0,stores,own,1.0,1.0,1.0,none,yes,2
359,0.0,30.0,A32,furniture/equipment,2406.0,0.0,3.0,4.0,female,divorced/separated/married,none,4.0,real_estate,23.0,none,rent,1.0,2.0,1.0,none,yes,2
362,2.0,12.0,A33,car (new),2247.0,0.0,2.0,2.0,female,divorced/separated/married,none,2.0,car or other,36.0,stores,own,2.0,2.0,1.0,yes,yes,1
364,0.0,18.0,A32,furniture/equipment,2473.0,0.0,0.0,4.0,male,single,none,1.0,car or other,25.0,none,own,1.0,0.0,1.0,none,yes,2
367,0.0,18.0,A32,furniture/equipment,3650.0,0.0,1.0,1.0,female,divorced/separated/married,none,4.0,car or other,22.0,none,rent,1.0,2.0,1.0,none,yes,1
368,0.0,36.0,A32,furniture/equipment,3446.0,0.0,4.0,4.0,male,single,none,2.0,car or other,42.0,none,own,1.0,2.0,2.0,none,yes,2
369,1.0,18.0,A32,furniture/equipment,3001.0,0.0,3.0,2.0,female,divorced/separated/married,none,4.0,real_estate,40.0,none,rent,1.0,2.0,1.0,none,yes,1
375,0.0,48.0,A31,business,7685.0,0.0,3.0,2.0,female,divorced/separated/married,guarantor,4.0,car or other,37.0,none,rent,1.0,2.0,1.0,none,yes,2
378,1.0,36.0,A32,car (new),14318.0,0.0,4.0,4.0,male,single,none,2.0,unknown/none,57.0,none,free,1.0,3.0,1.0,yes,yes,2
381,1.0,18.0,A32,car (used),12976.0,0.0,0.0,3.0,female,divorced/separated/married,none,4.0,unknown/none,38.0,none,free,1.0,3.0,1.0,yes,yes,2
383,2.0,12.0,A32,car (new),1330.0,0.0,1.0,4.0,male,single,none,1.0,real_estate,26.0,none,own,1.0,2.0,1.0,none,yes,1
387,1.0,18.0,A34,furniture/equipment,7374.0,0.0,0.0,4.0,male,single,none,4.0,building,40.0,stores,own,2.0,3.0,1.0,yes,yes,1
388,1.0,15.0,A34,business,2326.0,2.0,2.0,2.0,male,single,none,4.0,car or other,27.0,bank,own,1.0,2.0,1.0,none,yes,1
391,1.0,12.0,A32,furniture/equipment,983.0,3.0,1.0,1.0,female,divorced/separated/married,none,4.0,real_estate,19.0,none,rent,1.0,1.0,1.0,none,yes,1
392,0.0,36.0,A32,car (new),3249.0,0.0,3.0,2.0,male,single,none,4.0,unknown/none,39.0,bank,free,1.0,3.0,2.0,yes,yes,1
393,0.0,6.0,A34,radio/TV,1957.0,0.0,3.0,1.0,female,divorced/separated/married,none,4.0,car or other,31.0,none,own,1.0,2.0,1.0,none,yes,1
395,1.0,39.0,A33,education,11760.0,1.0,3.0,2.0,male,single,none,3.0,unknown/none,32.0,none,rent,1.0,2.0,1.0,yes,yes,1
396,0.0,12.0,A32,furniture/equipment,2578.0,0.0,0.0,3.0,female,divorced/separated/married,none,4.0,unknown/none,55.0,none,free,1.0,3.0,1.0,none,yes,1
397,0.0,36.0,A34,furniture/equipment,2348.0,0.0,2.0,3.0,male,divorced/separated/married,none,2.0,building,46.0,none,own,2.0,2.0,1.0,yes,yes,1
398,1.0,12.0,A32,car (new),1223.0,0.0,4.0,1.0,male,divorced/separated/married,none,1.0,real_estate,46.0,none,rent,2.0,2.0,1.0,none,yes,2
405,1.0,24.0,A32,radio/TV,2039.0,0.0,1.0,1.0,male,divorced/separated/married,none,1.0,building,22.0,none,own,1.0,2.0,1.0,yes,yes,2
407,0.0,15.0,A32,radio/TV,1053.0,0.0,1.0,4.0,male,divorced/separated/married,none,2.0,real_estate,27.0,none,own,1.0,2.0,1.0,none,no,1
409,2.0,12.0,A34,car (new),939.0,2.0,3.0,4.0,male,divorced/separated/married,none,2.0,real_estate,28.0,none,own,3.0,2.0,1.0,yes,yes,2
410,1.0,24.0,A32,radio/TV,1967.0,0.0,4.0,4.0,female,divorced/separated/married,none,4.0,car or other,20.0,none,own,1.0,2.0,1.0,yes,yes,1
416,0.0,12.0,A32,car (new),2579.0,0.0,1.0,4.0,male,single,none,1.0,real_estate,33.0,none,own,1.0,1.0,2.0,none,yes,2
422,1.0,12.0,A34,car (new),958.0,0.0,3.0,2.0,male,single,none,3.0,real_estate,47.0,none,own,2.0,1.0,2.0,none,yes,1
425,1.0,18.0,A32,car (used),2779.0,0.0,2.0,1.0,male,divorced/separated/married,none,3.0,car or other,21.0,none,rent,1.0,2.0,1.0,yes,yes,1
429,0.0,18.0,A34,repairs,1190.0,0.0,0.0,2.0,female,divorced/separated/married,none,4.0,unknown/none,55.0,none,free,3.0,0.0,2.0,none,yes,2
432,0.0,6.0,A34,furniture/equipment,1872.0,0.0,0.0,4.0,male,single,none,4.0,unknown/none,36.0,none,free,3.0,3.0,1.0,yes,yes,1
434,0.0,9.0,A32,furniture/equipment,2136.0,0.0,2.0,3.0,male,single,none,2.0,real_estate,25.0,none,own,1.0,2.0,1.0,none,yes,1
438,0.0,42.0,A34,repairs,3394.0,0.0,0.0,4.0,male,single,co-applicant,4.0,car or other,65.0,none,own,2.0,0.0,1.0,none,yes,1
439,2.0,12.0,A31,business,609.0,0.0,1.0,4.0,female,divorced/separated/married,none,1.0,real_estate,26.0,none,own,1.0,0.0,1.0,none,yes,2
441,0.0,12.0,A32,furniture/equipment,1620.0,0.0,2.0,2.0,female,divorced/separated/married,co-applicant,3.0,building,30.0,none,own,1.0,2.0,1.0,none,yes,1
442,1.0,20.0,A33,others,2629.0,0.0,2.0,2.0,male,single,none,3.0,car or other,29.0,bank,own,2.0,2.0,1.0,yes,yes,1
444,1.0,48.0,A34,furniture/equipment,5096.0,0.0,2.0,2.0,female,divorced/separated/married,none,3.0,car or other,30.0,none,own,1.0,3.0,1.0,yes,yes,2
446,0.0,36.0,A32,car (new),1842.0,0.0,1.0,4.0,female,divorced/separated/married,none,4.0,car or other,34.0,none,own,1.0,2.0,1.0,yes,yes,2
447,1.0,7.0,A32,radio/TV,2576.0,0.0,2.0,2.0,male,single,guarantor,2.0,real_estate,35.0,none,own,1.0,2.0,1.0,none,yes,1
449,1.0,15.0,A33,repairs,1512.0,3.0,2.0,3.0,male,divorced/separated/married,none,3.0,building,61.0,stores,own,2.0,2.0,1.0,none,yes,2
454,0.0,24.0,A32,car (new),4817.0,0.0,3.0,2.0,male,single,co-applicant,3.0,building,31.0,none,own,1.0,2.0,1.0,yes,yes,2
456,0.0,11.0,A34,car (new),3905.0,0.0,2.0,2.0,male,single,none,2.0,real_estate,36.0,none,rent,2.0,2.0,2.0,none,yes,1
457,0.0,12.0,A32,car (used),3386.0,0.0,4.0,3.0,male,single,none,4.0,unknown/none,35.0,none,free,1.0,2.0,1.0,yes,yes,2
458,0.0,6.0,A32,domestic_appliances,343.0,0.0,1.0,4.0,female,divorced/separated/married,none,1.0,real_estate,27.0,none,own,1.0,2.0,1.0,none,yes,1
460,0.0,36.0,A32,furniture/equipment,3620.0,0.0,2.0,1.0,male,single,guarantor,2.0,building,37.0,none,own,1.0,2.0,2.0,none,yes,1
461,0.0,15.0,A32,car (new),1721.0,0.0,1.0,2.0,male,single,none,3.0,real_estate,36.0,none,own,1.0,2.0,1.0,none,yes,1
462,1.0,12.0,A32,furniture/equipment,3017.0,0.0,1.0,3.0,female,divorced/separated/married,none,1.0,real_estate,34.0,none,rent,1.0,3.0,1.0,none,yes,1
465,0.0,24.0,A32,car (used),2924.0,0.0,2.0,3.0,male,single,guarantor,4.0,unknown/none,63.0,bank,own,1.0,2.0,2.0,yes,yes,1
466,0.0,24.0,A33,radio/TV,1659.0,0.0,1.0,4.0,female,divorced/separated/married,none,2.0,car or other,29.0,none,rent,1.0,1.0,1.0,yes,yes,2
470,1.0,24.0,A32,radio/TV,3092.0,1.0,1.0,3.0,male,divorced/separated/married,none,2.0,car or other,22.0,none,rent,1.0,2.0,1.0,yes,yes,2
471,0.0,6.0,A32,education,448.0,0.0,1.0,4.0,female,divorced/separated/married,none,4.0,building,23.0,none,own,1.0,2.0,1.0,none,yes,2
472,0.0,9.0,A32,car (new),654.0,0.0,2.0,4.0,male,single,none,3.0,car or other,28.0,none,own,1.0,1.0,1.0,none,yes,2
474,1.0,18.0,A34,radio/TV,1245.0,0.0,2.0,4.0,male,divorced/separated/married,none,2.0,car or other,33.0,none,own,1.0,2.0,1.0,none,yes,2
475,0.0,18.0,A30,furniture/equipment,3114.0,0.0,1.0,1.0,female,divorced/separated/married,none,4.0,building,26.0,none,rent,1.0,2.0,1.0,none,yes,2
477,2.0,24.0,A32,radio/TV,5152.0,0.0,3.0,4.0,male,single,none,2.0,car or other,25.0,bank,own,1.0,2.0,1.0,none,yes,1
478,1.0,12.0,A32,business,1037.0,1.0,3.0,3.0,male,single,none,4.0,real_estate,39.0,none,own,1.0,1.0,1.0,none,yes,1
479,0.0,15.0,A34,furniture/equipment,1478.0,0.0,4.0,4.0,male,single,none,4.0,car or other,44.0,none,own,2.0,2.0,2.0,yes,yes,1
480,1.0,12.0,A34,radio/TV,3573.0,0.0,2.0,1.0,female,divorced/separated/married,none,1.0,real_estate,23.0,none,own,1.0,1.0,1.0,none,yes,1
481,1.0,24.0,A32,car (new),1201.0,0.0,1.0,4.0,male,single,none,1.0,building,26.0,none,own,1.0,2.0,1.0,none,yes,1
482,0.0,30.0,A32,furniture/equipment,3622.0,3.0,4.0,4.0,female,divorced/separated/married,none,4.0,building,57.0,none,rent,2.0,2.0,1.0,yes,yes,1
485,1.0,6.0,A33,car (new),1209.0,0.0,0.0,4.0,male,single,none,4.0,building,47.0,none,own,1.0,3.0,1.0,yes,yes,2
491,1.0,27.0,A30,business,8318.0,0.0,4.0,2.0,female,divorced/separated/married,none,4.0,unknown/none,42.0,none,free,2.0,3.0,1.0,yes,yes,2
494,0.0,12.0,A34,car (new),2122.0,0.0,2.0,3.0,male,single,none,2.0,real_estate,39.0,none,rent,2.0,1.0,2.0,none,no,1
496,1.0,36.0,A32,furniture/equipment,9034.0,1.0,1.0,4.0,male,single,co-applicant,1.0,unknown/none,29.0,none,rent,1.0,3.0,1.0,yes,yes,2
498,1.0,18.0,A32,radio/TV,1301.0,0.0,4.0,4.0,male,divorced/separated/married,guarantor,2.0,real_estate,32.0,none,own,1.0,1.0,1.0,none,yes,1
499,2.0,6.0,A34,car (new),1323.0,1.0,4.0,2.0,male,divorced/separated/married,none,4.0,car or other,28.0,none,own,2.0,2.0,2.0,yes,yes,1
500,0.0,24.0,A32,car (new),3123.0,0.0,1.0,4.0,female,divorced/separated/married,none,1.0,building,27.0,none,own,1.0,2.0,1.0,none,yes,2
501,0.0,36.0,A32,car (used),5493.0,0.0,4.0,2.0,male,single,none,4.0,unknown/none,42.0,none,free,1.0,2.0,2.0,none,yes,1
502,2.0,9.0,A32,radio/TV,1126.0,1.0,4.0,2.0,male,divorced/separated/married,none,4.0,real_estate,49.0,none,own,1.0,2.0,1.0,none,yes,1
503,1.0,24.0,A34,radio/TV,1216.0,1.0,1.0,4.0,male,single,none,4.0,unknown/none,38.0,bank,own,2.0,2.0,2.0,none,yes,2
504,0.0,24.0,A32,car (new),1207.0,0.0,1.0,4.0,female,divorced/separated/married,none,4.0,building,24.0,none,rent,1.0,2.0,1.0,none,yes,2
506,2.0,15.0,A34,car (used),2360.0,2.0,2.0,2.0,male,single,none,2.0,car or other,36.0,none,own,1.0,2.0,1.0,yes,yes,1
507,1.0,15.0,A31,car (new),6850.0,1.0,0.0,1.0,male,single,none,2.0,building,34.0,none,own,1.0,3.0,2.0,yes,yes,2
510,0.0,12.0,A32,car (new),759.0,0.0,3.0,4.0,male,single,none,2.0,real_estate,26.0,none,own,1.0,2.0,1.0,none,yes,2
512,2.0,15.0,A32,business,2687.0,0.0,3.0,2.0,male,single,none,4.0,building,26.0,none,rent,1.0,2.0,1.0,yes,yes,1
513,1.0,12.0,A33,radio/TV,585.0,0.0,2.0,4.0,male,divorced/separated/married,co-applicant,4.0,real_estate,20.0,none,rent,2.0,2.0,1.0,none,yes,1
515,0.0,6.0,A34,car (new),609.0,0.0,3.0,4.0,female,divorced/separated/married,none,3.0,building,37.0,none,own,2.0,2.0,1.0,none,no,1
516,0.0,6.0,A34,car (new),1361.0,0.0,1.0,2.0,male,single,none,4.0,real_estate,40.0,none,own,1.0,1.0,2.0,none,no,1
518,0.0,6.0,A32,car (new),1203.0,1.0,4.0,3.0,male,single,none,2.0,building,43.0,none,own,1.0,2.0,1.0,yes,yes,1
521,0.0,18.0,A32,radio/TV,3190.0,0.0,2.0,2.0,female,divorced/separated/married,none,2.0,real_estate,24.0,none,own,1.0,2.0,1.0,none,yes,2
522,0.0,48.0,A30,furniture/equipment,7119.0,0.0,2.0,3.0,male,single,none,4.0,unknown/none,53.0,none,free,2.0,2.0,2.0,none,yes,2
524,1.0,18.0,A32,radio/TV,1113.0,0.0,2.0,4.0,female,divorced/separated/married,guarantor,4.0,real_estate,26.0,none,own,1.0,1.0,2.0,none,yes,1
525,1.0,26.0,A32,car (used),7966.0,0.0,1.0,2.0,male,single,none,3.0,car or other,30.0,none,own,2.0,2.0,1.0,none,yes,1
528,0.0,36.0,A32,radio/TV,2302.0,0.0,2.0,4.0,male,divorced/separated/married,none,4.0,car or other,31.0,none,rent,1.0,2.0,1.0,none,yes,2
529,0.0,6.0,A32,car (new),662.0,0.0,1.0,3.0,male,single,none,4.0,real_estate,41.0,none,own,1.0,1.0,2.0,yes,yes,1
530,1.0,36.0,A32,education,2273.0,0.0,3.0,3.0,male,single,none,1.0,car or other,32.0,none,own,2.0,2.0,2.0,none,yes,1
531,1.0,15.0,A32,car (new),2631.0,1.0,2.0,2.0,female,divorced/separated/married,none,4.0,car or other,28.0,none,rent,2.0,2.0,1.0,yes,yes,2
535,2.0,21.0,A34,education,2319.0,0.0,1.0,2.0,male,divorced/separated/married,none,1.0,car or other,33.0,none,rent,1.0,2.0,1.0,none,yes,2
537,1.0,18.0,A34,furniture/equipment,3612.0,0.0,4.0,3.0,female,divorced/separated/married,none,4.0,building,37.0,none,own,1.0,2.0,1.0,yes,yes,1
538,0.0,48.0,A32,car (new),7763.0,0.0,4.0,4.0,male,single,none,4.0,unknown/none,42.0,bank,free,1.0,3.0,1.0,none,yes,2
539,2.0,18.0,A32,furniture/equipment,3049.0,0.0,1.0,1.0,female,divorced/separated/married,none,1.0,building,45.0,stores,own,1.0,1.0,1.0,none,yes,1
540,1.0,12.0,A32,radio/TV,1534.0,0.0,1.0,1.0,male,divorced/separated/married,none,1.0,real_estate,23.0,none,rent,1.0,2.0,1.0,none,yes,2
543,2.0,18.0,A32,furniture/equipment,2864.0,0.0,2.0,2.0,male,single,none,1.0,real_estate,34.0,none,own,1.0,1.0,2.0,none,yes,2
545,0.0,24.0,A33,car (new),1333.0,0.0,0.0,4.0,male,single,none,2.0,real_estate,43.0,none,free,2.0,2.0,2.0,none,yes,2
548,0.0,12.0,A31,radio/TV,626.0,0.0,2.0,4.0,female,divorced/separated/married,none,4.0,real_estate,24.0,bank,own,1.0,1.0,1.0,none,yes,2
552,0.0,48.0,A32,radio/TV,6999.0,0.0,3.0,1.0,male,divorced/separated/married,guarantor,1.0,real_estate,34.0,none,own,2.0,2.0,1.0,yes,yes,2
553,1.0,12.0,A34,car (new),1995.0,1.0,1.0,4.0,male,single,none,1.0,car or other,27.0,none,own,1.0,2.0,1.0,none,yes,1
554,1.0,9.0,A32,education,1199.0,0.0,3.0,4.0,female,divorced/separated/married,none,4.0,building,67.0,none,own,2.0,3.0,1.0,yes,yes,1
555,1.0,12.0,A32,radio/TV,1331.0,0.0,1.0,2.0,male,single,none,1.0,car or other,22.0,stores,own,1.0,2.0,1.0,none,yes,2
556,1.0,18.0,A30,car (new),2278.0,1.0,1.0,3.0,female,divorced/separated/married,none,3.0,car or other,28.0,none,own,2.0,2.0,1.0,none,yes,2
558,0.0,24.0,A31,furniture/equipment,3552.0,0.0,3.0,3.0,male,single,none,4.0,car or other,27.0,bank,own,1.0,2.0,1.0,none,yes,2
559,1.0,18.0,A34,furniture/equipment,1928.0,0.0,1.0,2.0,male,single,none,2.0,real_estate,31.0,none,own,2.0,1.0,1.0,none,yes,2
561,0.0,24.0,A31,radio/TV,1546.0,0.0,3.0,4.0,male,single,guarantor,4.0,car or other,24.0,bank,rent,1.0,1.0,1.0,none,yes,2
562,2.0,6.0,A33,radio/TV,683.0,0.0,1.0,2.0,female,divorced/separated/married,none,1.0,building,29.0,bank,own,1.0,2.0,1.0,none,yes,1
565,1.0,24.0,A33,radio/TV,1553.0,1.0,3.0,3.0,female,divorced/separated/married,none,2.0,building,23.0,none,rent,2.0,2.0,1.0,yes,yes,1
566,0.0,12.0,A32,car (new),1372.0,0.0,3.0,2.0,male,divorced/separated/married,none,3.0,car or other,36.0,none,own,1.0,2.0,1.0,none,yes,2
569,0.0,48.0,A32,radio/TV,6758.0,0.0,2.0,3.0,female,divorced/separated/married,none,2.0,car or other,31.0,none,own,1.0,2.0,1.0,yes,yes,2
570,0.0,24.0,A32,furniture/equipment,3234.0,0.0,1.0,4.0,female,divorced/separated/married,none,4.0,real_estate,23.0,none,rent,1.0,1.0,1.0,yes,yes,2
573,0.0,15.0,A32,business,806.0,0.0,2.0,4.0,female,divorced/separated/married,none,4.0,building,22.0,none,own,1.0,1.0,1.0,none,yes,1
574,1.0,9.0,A32,radio/TV,1082.0,0.0,4.0,4.0,male,single,none,4.0,car or other,27.0,none,own,2.0,1.0,1.0,none,yes,1
576,1.0,12.0,A32,radio/TV,2930.0,0.0,3.0,2.0,female,divorced/separated/married,none,1.0,real_estate,27.0,none,own,1.0,2.0,1.0,none,yes,1
578,1.0,36.0,A34,car (new),2820.0,0.0,1.0,4.0,male,divorced/separated/married,none,4.0,car or other,27.0,none,own,2.0,2.0,1.0,none,yes,2
580,1.0,18.0,A34,car (new),1056.0,0.0,4.0,3.0,male,single,guarantor,3.0,real_estate,30.0,bank,own,2.0,2.0,1.0,none,yes,2
581,1.0,12.0,A34,car (new),3124.0,0.0,1.0,1.0,male,single,none,3.0,real_estate,49.0,bank,own,2.0,1.0,2.0,none,yes,1
583,1.0,36.0,A32,repairs,2384.0,0.0,1.0,4.0,male,single,none,1.0,unknown/none,33.0,none,rent,1.0,1.0,1.0,none,yes,2
585,0.0,18.0,A32,furniture/equipment,2039.0,0.0,2.0,1.0,female,divorced/separated/married,none,4.0,real_estate,20.0,bank,rent,1.0,2.0,1.0,none,yes,2
586,0.0,9.0,A34,car (new),2799.0,0.0,2.0,2.0,male,single,none,2.0,real_estate,36.0,none,rent,2.0,2.0,2.0,none,yes,1
587,0.0,12.0,A32,furniture/equipment,1289.0,0.0,2.0,4.0,male,single,guarantor,1.0,building,21.0,none,own,1.0,1.0,1.0,none,yes,1
588,0.0,18.0,A32,domestic_appliances,1217.0,0.0,2.0,4.0,male,divorced/separated/married,none,3.0,real_estate,47.0,none,own,1.0,1.0,1.0,yes,yes,2
589,0.0,12.0,A34,furniture/equipment,2246.0,0.0,4.0,3.0,male,single,none,3.0,building,60.0,none,own,2.0,2.0,1.0,none,yes,2
590,0.0,12.0,A34,radio/TV,385.0,0.0,3.0,4.0,female,divorced/separated/married,none,3.0,real_estate,58.0,none,own,4.0,1.0,1.0,yes,yes,1
593,1.0,24.0,A32,car (new),2718.0,0.0,2.0,3.0,female,divorced/separated/married,none,4.0,building,20.0,none,rent,1.0,1.0,1.0,yes,yes,2
595,1.0,6.0,A31,car (new),931.0,1.0,1.0,1.0,female,divorced/separated/married,none,1.0,building,32.0,stores,own,1.0,1.0,1.0,none,yes,2
596,0.0,24.0,A32,car (new),1442.0,0.0,3.0,4.0,female,divorced/separated/married,none,4.0,car or other,23.0,none,rent,2.0,2.0,1.0,none,yes,2
597,1.0,24.0,A30,business,4241.0,0.0,2.0,1.0,male,single,none,4.0,real_estate,36.0,none,own,3.0,1.0,1.0,yes,yes,2
600,1.0,7.0,A32,radio/TV,2329.0,0.0,1.0,1.0,female,divorced/separated/married,guarantor,1.0,real_estate,45.0,none,own,1.0,2.0,1.0,none,yes,1
601,1.0,9.0,A32,furniture/equipment,918.0,0.0,2.0,4.0,female,divorced/separated/married,none,1.0,building,30.0,none,own,1.0,2.0,1.0,none,yes,2
602,1.0,24.0,A31,education,1837.0,0.0,3.0,4.0,female,divorced/separated/married,none,4.0,unknown/none,34.0,bank,free,1.0,1.0,1.0,none,yes,2
604,2.0,10.0,A32,furniture/equipment,1275.0,0.0,1.0,4.0,female,divorced/separated/married,none,2.0,building,23.0,none,own,1.0,2.0,1.0,none,yes,1
605,0.0,24.0,A31,furniture/equipment,2828.0,2.0,2.0,4.0,male,single,none,4.0,real_estate,22.0,stores,own,1.0,2.0,1.0,yes,yes,1
607,1.0,36.0,A32,radio/TV,2671.0,1.0,2.0,4.0,female,divorced/separated/married,co-applicant,4.0,unknown/none,50.0,none,free,1.0,2.0,1.0,none,yes,2
610,0.0,12.0,A32,domestic_appliances,741.0,1.0,0.0,4.0,female,divorced/separated/married,none,3.0,building,22.0,none,own,1.0,2.0,1.0,none,yes,2
611,2.0,10.0,A32,car (new),1240.0,1.0,4.0,1.0,female,divorced/separated/married,none,4.0,unknown/none,48.0,none,free,1.0,1.0,2.0,none,yes,2
612,0.0,21.0,A32,radio/TV,3357.0,3.0,1.0,4.0,female,divorced/separated/married,none,2.0,car or other,29.0,bank,own,1.0,2.0,1.0,none,yes,1
613,0.0,24.0,A31,car (used),3632.0,0.0,2.0,1.0,female,divorced/separated/married,guarantor,4.0,car or other,22.0,bank,rent,1.0,2.0,1.0,none,no,1
617,0.0,6.0,A34,car (new),3676.0,0.0,2.0,1.0,male,single,none,3.0,real_estate,37.0,none,rent,3.0,2.0,2.0,none,yes,1
618,1.0,30.0,A32,furniture/equipment,3441.0,1.0,2.0,2.0,female,divorced/separated/married,co-applicant,4.0,car or other,21.0,none,rent,1.0,2.0,1.0,none,yes,2
620,1.0,21.0,A34,business,3652.0,0.0,3.0,2.0,male,single,none,3.0,building,27.0,none,own,2.0,2.0,1.0,none,yes,1
623,0.0,12.0,A32,furniture/equipment,1858.0,0.0,1.0,4.0,female,divorced/separated/married,none,1.0,car or other,22.0,none,rent,1.0,2.0,1.0,none,yes,1
624,0.0,18.0,A32,radio/TV,2600.0,0.0,2.0,4.0,male,single,none,4.0,unknown/none,65.0,none,free,2.0,2.0,1.0,none,yes,2
626,2.0,6.0,A32,furniture/equipment,2116.0,0.0,2.0,2.0,male,single,none,2.0,real_estate,41.0,none,own,1.0,2.0,1.0,yes,yes,1
627,1.0,9.0,A31,car (new),1437.0,1.0,3.0,2.0,male,single,none,3.0,unknown/none,29.0,none,own,1.0,2.0,1.0,none,yes,2
630,0.0,24.0,A32,radio/TV,3660.0,0.0,2.0,2.0,female,divorced/separated/married,none,4.0,car or other,28.0,none,own,1.0,2.0,1.0,none,yes,1
631,0.0,18.0,A31,furniture/equipment,1553.0,0.0,2.0,4.0,male,single,none,3.0,car or other,44.0,bank,own,1.0,2.0,1.0,none,yes,2
634,1.0,24.0,A32,car (new),1355.0,0.0,1.0,3.0,female,divorced/separated/married,none,4.0,car or other,25.0,none,own,1.0,1.0,1.0,yes,yes,2
639,0.0,42.0,A33,radio/TV,4370.0,0.0,3.0,3.0,male,single,none,2.0,building,26.0,bank,own,2.0,2.0,2.0,yes,yes,2
640,0.0,18.0,A32,education,750.0,0.0,0.0,4.0,female,divorced/separated/married,none,1.0,real_estate,27.0,none,own,1.0,0.0,1.0,none,yes,2
641,1.0,15.0,A32,repairs,1308.0,0.0,4.0,4.0,male,single,none,4.0,car or other,38.0,none,own,2.0,1.0,1.0,none,yes,1
644,0.0,18.0,A34,radio/TV,1880.0,0.0,3.0,4.0,male,divorced/separated/married,none,1.0,building,32.0,none,own,2.0,3.0,1.0,yes,yes,1
646,0.0,30.0,A30,furniture/equipment,4583.0,0.0,2.0,2.0,male,divorced/separated/married,guarantor,2.0,real_estate,32.0,none,own,2.0,2.0,1.0,none,yes,1
648,2.0,24.0,A32,car (new),947.0,0.0,3.0,4.0,male,single,none,3.0,unknown/none,38.0,bank,free,1.0,2.0,2.0,none,yes,2
649,0.0,12.0,A32,education,684.0,0.0,2.0,4.0,male,single,none,4.0,car or other,40.0,none,rent,1.0,1.0,2.0,none,yes,2
650,0.0,48.0,A32,education,7476.0,0.0,3.0,4.0,male,single,none,1.0,unknown/none,50.0,none,free,1.0,3.0,1.0,yes,yes,1
